id,title,total_words,unique_words,coverage_ratio,new_word_count,new_words,readability_score,candidate
12,Anarchism,6793,1932,0.0,1932,"'anarchism', a, ability, able, abolish, abolishing, abolition, about, above, abstentionism, academia, academic, academics, accept, acceptance, accepting, according, accused, achieve, achieved, acknowledging, acquiring, act, action, actions, active, activism, activist, activists, activity",21.983818770226538,False
39,Albedo,3889,1073,0.0,1073,"'black', a, about, above, absolute, absorb, absorbed, absorbing, absorbs, absorption, achieve, achieved, across, act, activities, acts, actual, adding, adjacent, aerosol, aerosols, affect, affected, affects, afforestation, afternoon, air, airless, airliner, aka",18.697115384615383,False
290,A,1713,544,0.0,544,"'aleph, a, aardvark, aaron, abbreviations, abjad, about, above, ace, ad, adopted, advent, ae, aes, after, ages, aleph, algebra, all, along, alpha, alphabet, alphabets, also, although, american, among, an, anarchy, ancestor",29.033898305084747,False
303,Alabama,11706,2803,0.0,2803,"'clearers, 'herb, 'here, 'plants', 's, 'to, 'weeds', a, abandoned, abc, abhe, ability, abortion, abortions, about, academic, access, according, accounted, accounts, accreditation, accrediting, achievement, acics, acquired, acres, across, act, acting, active",17.550224887556222,False
305,Achilles,7542,2285,0.0,2285,"'folk, 'narrators', 'river, 's, a, aback, abandoned, abandons, able, about, abrantes, absolute, absorbed, accepting, accident, accidentally, according, account, accounted, accounting, accounts, ach, achaean, achaeans, achaia, acheans, achelous, acheron, achileii, achill",21.860869565217392,False
307,Abraham Lincoln,13961,3359,0.0,3359,"'em, 'radicalism', a, abate, abe, ability, able, abolish, abolished, abolishing, abolition, abolitionist, abolitionists, about, above, abraham, abraham's, abroad, absence, absorbed, abundance, abuse, accept, acceptance, accepted, according, account, accused, acknowledged, acquittal",17.944730077120823,False
308,Aristotle,10100,2572,0.0,2572,"', 'act', 'aristotle', 'be, 'covering, 'generation', 'memory', 'what, a, abelard, ability, able, about, above, absence, absurd, absurdity, abydus, academia, academics, academy, academy's, accepted, accident, accidental, accidents, accompanied, accompanying, accomplished, accordance",20.281124497991968,False
309,An American in Paris,1763,695,0.0,695,"a, able, about, abroad, absorbs, accomplished, according, actual, advice, after, album, all, allegretto, allegro, already, also, although, alto, america, american, among, an, and, andante, andre, announced, apocryphal, applause, aragon, archives",23.824324324324323,False
316,Academy Award for Best Production Design,309,195,0.0,195,"a, academy, achievement, adam, alexander, alphabetical, also, ames, ampas, and, are, art, arts, award, awarded, awards, b, bafta, being, below, best, blumenthal, box, branch, bumstead, burt, but, by, c, callahan",14.714285714285714,False
324,Academy Awards,8025,2019,0.0,2019,"'oscars', 's, a, abandoned, abc, abc's, ability, able, about, academy, academy's, accelerated, accept, acceptance, accepted, accepting, accessed, acclaim, acclaimed, according, accusations, achieved, achievement, achievements, acknowledged, across, acting, action, active, activist",22.107438016528924,False
