ID,Title,Level,Total_Words,Unique_Words,Coverage_Ratio,New_Word_Count,New_Words,Flesch_Kincaid_Grade,Candidate
12,Anarchism,intermediate,6793,1932,0.00014721036360959813,1931,"'anarchism', a, ability, able, abolish, abolishing, abolition, about, above, abstentionism, academia, academic, academics, accept, acceptance, accepting, according, accused, achieve, achieved, acknowledging, acquiring, act, action, actions, active, activism, activist, activists, activity",16.086762109411755,False
39,Albedo,intermediate,3889,1073,0.0,1073,"'black', a, about, above, absolute, absorb, absorbed, absorbing, absorbs, absorption, achieve, achieved, across, act, activities, acts, actual, adding, adjacent, aerosol, aerosols, affect, affected, affects, afforestation, afternoon, air, airless, airliner, aka",13.410712795264946,False
290,A,intermediate,1713,544,0.0,544,"'aleph, a, aardvark, aaron, abbreviations, abjad, about, above, ace, ad, adopted, advent, ae, aes, after, ages, aleph, algebra, all, along, alpha, alphabet, alphabets, also, although, american, among, an, anarchy, ancestor",15.160446050242136,False
303,Alabama,intermediate,11706,2803,0.0,2803,"'clearers, 'herb, 'here, 'plants', 's, 'to, 'weeds', a, abandoned, abc, abhe, ability, abortion, abortions, about, academic, access, according, accounted, accounts, accreditation, accrediting, achievement, acics, acquired, acres, across, act, acting, active",12.998679316888047,False
305,Achilles,intermediate,7542,2285,0.0,2285,"'folk, 'narrators', 'river, 's, a, aback, abandoned, abandons, able, about, abrantes, absolute, absorbed, accepting, accident, accidentally, according, account, accounted, accounting, accounts, ach, achaean, achaeans, achaia, acheans, achelous, acheron, achileii, achill",12.313329224285528,False
307,Abraham Lincoln,intermediate,13961,3359,7.162810686913545e-05,3358,"'em, 'radicalism', a, abate, abe, ability, able, abolish, abolished, abolishing, abolition, abolitionist, abolitionists, about, above, abraham, abraham's, abroad, absence, absorbed, abundance, abuse, accept, acceptance, accepted, according, account, accused, acknowledged, acquittal",12.260133543862228,False
308,Aristotle,intermediate,10100,2572,9.900990099009902e-05,2571,"', 'act', 'aristotle', 'be, 'covering, 'generation', 'memory', 'what, a, abelard, ability, able, about, above, absence, absurd, absurdity, abydus, academia, academics, academy, academy's, accepted, accident, accidental, accidents, accompanied, accompanying, accomplished, accordance",13.739339318531211,False
309,An American in Paris,intermediate,1763,695,0.0005672149744753262,694,"a, able, about, abroad, absorbs, accomplished, according, actual, advice, after, album, all, allegretto, allegro, already, also, although, alto, america, american, among, an, and, andante, andre, announced, apocryphal, applause, aragon, archives",13.508194787464145,False
316,Academy Award for Best Production Design,intermediate,309,195,0.0,195,"a, academy, achievement, adam, alexander, alphabetical, also, ames, ampas, and, are, art, arts, award, awarded, awards, b, bafta, being, below, best, blumenthal, box, branch, bumstead, burt, but, by, c, callahan",9.596973742768139,False
324,Academy Awards,intermediate,8025,2019,0.0,2019,"'oscars', 's, a, abandoned, abc, abc's, ability, able, about, academy, academy's, accelerated, accept, acceptance, accepted, accepting, accessed, acclaim, acclaimed, according, accusations, achieved, achievement, achievements, acknowledged, across, acting, action, active, activist",14.130190047800294,False
330,Actrius,intermediate,382,210,0.0,210,"'best, a, about, actors, actress, actress', actresses, actrius, adaptation, all, almost, also, american, an, and, anna, archived, as, assumpta, at, award, awards, barcelona, based, been, beneath, benet, best, bitchiness, bitchy",16.43376623376624,False
332,Animalia (book),intermediate,362,187,0.0,187,"a, about, abrams, accompany, activity, adaptations, additional, aids, airs, alligator, alliterative, along, alphabet, also, american, an, and, animal, animalia, animals, anniversary, appbooks, application, are, armadillo, as, australia, australian, australian's, author",11.685000000000002,False
334,International Atomic Time,intermediate,1193,420,0.0,420,"a, abbreviated, about, above, adjusted, adjustments, afterward, against, all, also, altitudes, am, an, and, another, anything, apart, applied, approximate, approximated, are, arrangement, as, aside, at, atom, atomic, atomichron, atomique, average",11.992237392864265,False
336,Altruism,intermediate,5450,1562,0.0001834862385321101,1561,"'good, a, abiding, ability, able, about, above, abraham, accepts, according, accounted, achieve, achieving, acknowledges, across, act, acting, action, actions, activated, activity, actor, acts, adaptations, adaptive, adhesion, adulterous, adults, advocating, affect",14.586390999259809,False
339,Ayn Rand,intermediate,6167,1782,0.0,1782,"', 'intuition, 'just, 'revelation, 'to, a, a's, able, abortion, about, above, absolute, academe, academia, academic, academics, academy, accepted, according, accurately, accused, achieved, achievement, achievements, acknowledged, acknowledgement, acknowledging, acquired, acting, active",13.75422344029867,False
340,Alain Connes,intermediate,753,303,0.0,303,"a, about, academic, academies, academy, advanced, alain, algebra, algebras, almost, also, alumni, american, amp, an, analysis, analysts, and, andr, applied, april, areas, around, arts, as, associates, at, attended, authors, award",17.606094176524113,False
