word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,band,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
jurisdiction,9,9-12,advanced_9_to_12,3539,2287,true,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_exact,advanced,advanced,0.017,12.689,37.953,advanced_seed,advanced_9_to_12.csv
conjunction,10,9-12,advanced_9_to_12,5194,1549,true,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+academic_exact,advanced,advanced,-0.084,12.554,37.835,advanced_seed,advanced_9_to_12.csv
denomination,10,9-12,advanced_9_to_12,5249,641,true,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+academic_tion,advanced,advanced,-0.312,12.251,37.57,advanced_seed,advanced_9_to_12.csv
inscription,10,9-12,advanced_9_to_12,5487,534,true,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+academic_tion,advanced,advanced,-0.359,12.188,37.515,advanced_seed,advanced_9_to_12.csv
sophistication,10,9-12,advanced_9_to_12,5859,524,true,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+academic_tion,advanced,advanced,-0.363,12.182,37.509,advanced_seed,advanced_9_to_12.csv
sociology,9,9-12,advanced_9_to_12,3831,3539,true,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_exact,advanced,advanced,0.13,12.84,36.585,advanced_seed,advanced_9_to_12.csv
notification,10,9-12,advanced_9_to_12,6578,409,true,n,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+academic_tion,advanced,advanced,-0.427,10.098,36.436,advanced_seed,advanced_9_to_12.csv
bureaucracy,9,9-12,advanced_9_to_12,3124,1520,true,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_suffix,advanced,advanced,-0.089,12.048,36.429,advanced_seed,advanced_9_to_12.csv
biotechnology,10,9-12,advanced_9_to_12,6092,353,true,n,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+academic_suffix,advanced,advanced,-0.464,10.048,36.392,advanced_seed,advanced_9_to_12.csv
criminology,11,9-12,advanced_9_to_12,7224,353,true,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+academic_suffix,advanced,advanced,-0.464,10.048,36.392,advanced_seed,advanced_9_to_12.csv
