word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,band,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
he,K,k-5th grade,beginner_k_to_5,1,,false,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week3_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
if,1,k-5th grade,beginner_k_to_5,1,,false,conj,tier1_dolch+dolch_grade3+fry_overlap+grade1_week13_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
of,1,k-5th grade,beginner_k_to_5,1,,false,prep,tier1_dolch+dolch_grade1+fry_overlap+grade1_week1_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
the,K,k-5th grade,beginner_k_to_5,1,,false,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week1_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
full,2,k-5th grade,beginner_k_to_5,2,,false,adj,tier1_dolch+dolch_grade3+fry_overlap+grade2_week16_item16,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
now,K,k-5th grade,beginner_k_to_5,2,,false,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week23_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
one,K,k-5th grade,beginner_k_to_5,2,,false,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week7_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
take,1,k-5th grade,beginner_k_to_5,2,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade2_week1_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
his,1,k-5th grade,beginner_k_to_5,3,,false,det,tier1_dolch+dolch_grade1+fry_overlap+grade1_week5_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
long,1,k-5th grade,beginner_k_to_5,3,,false,adj,tier1_dolch+dolch_grade3+fry_overlap+grade1_week23_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
to,K,k-5th grade,beginner_k_to_5,3,,false,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
very,2,k-5th grade,beginner_k_to_5,3,,false,adv,tier1_dolch+dolch_grade2+fry_overlap+grade2_week4_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
was,K,k-5th grade,beginner_k_to_5,3,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week3_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
done,2,k-5th grade,beginner_k_to_5,4,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade2_week14_item11,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
my,K,k-5th grade,beginner_k_to_5,4,,false,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week21_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
no,K,k-5th grade,beginner_k_to_5,4,,false,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week20_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
and,K,k-5th grade,beginner_k_to_5,5,,false,conj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week1_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
had,1,k-5th grade,beginner_k_to_5,5,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade1_week7_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
that,K,k-5th grade,beginner_k_to_5,5,,false,det,tier1_dolch+dolch_primer+fry_overlap+grade1_week1_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
your,1,k-5th grade,beginner_k_to_5,5,,false,det,tier1_dolch+dolch_grade2+fry_overlap+grade1_week10_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
came,K,k-5th grade,beginner_k_to_5,6,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week9_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
made,1,k-5th grade,beginner_k_to_5,6,,false,n,tier1_dolch+dolch_grade2+fry_overlap+grade1_week25_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
mat,1,k-5th grade,beginner_k_to_5,6,,false,n,elementary_fill+grade1+grade1_week1_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
me,K,k-5th grade,beginner_k_to_5,6,,false,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week3_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
old,1,k-5th grade,beginner_k_to_5,6,,false,adj,tier1_dolch+dolch_grade1+fry_overlap+grade2_week8_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
a,K,k-5th grade,beginner_k_to_5,7,,false,det,tier1_dolch+dolch_preprimer+fry_overlap,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
got,2,k-5th grade,beginner_k_to_5,7,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade2_week4_item14,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
him,1,k-5th grade,beginner_k_to_5,7,,false,pron,tier1_dolch+dolch_grade1+fry_overlap+grade1_week17_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
its,2,k-5th grade,beginner_k_to_5,7,,false,det,tier1_dolch+dolch_grade2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
she,K,k-5th grade,beginner_k_to_5,7,,false,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week12_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
