word,rank,count,grade_hint,academic,pos,notes
abnormal,3001,1681,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
aboard,3002,948,9,0,prep,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
abrupt,3003,1672,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
absurd,3005,1419,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
abundant,3006,1465,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
accountant,3007,3013,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
accustom,3008,1102,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
acquaint,3010,1314,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
adhere,3013,1475,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
administer,3015,1957,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
affiliate,3018,1099,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
aggression,3019,1315,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
agony,3020,1506,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
align,3021,1467,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
alike,3022,1477,9,0,adv,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
alley,3023,1111,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
alpha,3024,1281,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
aluminium,3026,1080,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
amateur,3027,2067,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ambassador,3028,1441,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ambiguous,3029,1361,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ambition,3030,2296,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ambitious,3031,1625,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
amid,3033,1069,9,0,prep,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
anchor,3035,1242,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
animate,3036,1156,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
anniversary,3038,2146,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
anonymous,3039,1235,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
antique,3041,1384,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
applicable,3042,1693,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
appraise,3044,1819,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
arch,3045,2223,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
archive,3046,1817,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
arena,3047,1132,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
armour,3048,1598,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
arouse,3049,1832,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
arrogant,3051,1170,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ash,3055,2017,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
aspire,3056,2187,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
