word,rank,count,grade_hint,academic,pos,notes
he,1,,K,0,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week3_item3
the,1,,K,0,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week1_item1
now,2,,K,0,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week23_item2
one,2,,K,0,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week7_item3
to,3,,K,0,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item1
was,3,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week3_item4
my,4,,K,0,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week21_item1
no,4,,K,0,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week20_item1
and,5,,K,0,conj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week1_item3
that,5,,K,0,det,tier1_dolch+dolch_primer+fry_overlap+grade1_week1_item4
came,6,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week9_item3
me,6,,K,0,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week3_item2
a,7,,K,0,det,tier1_dolch+dolch_preprimer+fry_overlap
she,7,,K,0,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week12_item2
big,8,,K,0,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week6_item5
ride,8,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week27_item14
i,9,,K,0,pron,tier1_dolch+dolch_preprimer+fry_overlap
on,9,,K,0,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week4_item2
come,10,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week25_item1
into,10,,K,0,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week17_item3
they,11,,K,0,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week5_item3
you,11,,K,0,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item4
blue,12,,K,0,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week8_item6
good,12,,K,0,adj,tier1_dolch+dolch_primer+fry_overlap+grade1_week33_item3
but,13,,K,0,conj,tier1_dolch+dolch_primer+fry_overlap+grade1_week8_item3
it,13,,K,0,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week3_item2
red,14,,K,0,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week18_item5
want,14,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week9_item4
at,15,,K,0,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item1
in,15,,K,0,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item2
too,16,,K,0,adv,tier1_dolch+dolch_primer+fry_overlap+grade2_week7_item5
where,16,,K,0,adv,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week29_item3
said,17,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week10_item4
with,17,,K,0,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week5_item1
jump,18,,K,0,v,tier1_dolch+dolch_preprimer
pretty,18,,K,0,adj,tier1_dolch+dolch_primer+fry_overlap
all,19,,K,0,n,tier1_dolch+dolch_primer+fry_overlap+grade1_week9_item2
for,19,,K,0,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week4_item1
away,20,,K,0,adv,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week18_item1
four,20,,K,0,det,tier1_dolch+dolch_primer+fry_overlap+grade2_week6_item3
there,21,,K,0,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week11_item1
up,21,,K,0,n,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week13_item4
here,22,,K,0,adv,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week13_item4
saw,22,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week3_item6
look,23,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week18_item2
out,23,,K,0,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week14_item3
help,24,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week6_item4
well,24,,K,0,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week20_item8
be,25,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item2
is,25,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item3
make,26,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week16_item4
ran,26,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week2_item7
go,27,,K,0,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week19_item2
have,27,,K,0,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item4
brown,28,,K,0,adj,tier1_dolch+dolch_primer+fry_overlap+grade1_week34_item3
yellow,28,,K,0,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week4_item12
