word,rank,count,grade_hint,academic,pos,notes
repertoire,1,1759,6,1,n,tier2_nawl_academic+nawl_rank_1+grade_estimate_6
obtain,2,449,6,1,v,tier2_nawl_academic+nawl_rank_2+grade_estimate_6
distribution,3,369,6,1,n,tier2_nawl_academic+nawl_rank_3+grade_estimate_6
parameter,4,273,6,1,n,tier2_nawl_academic+nawl_rank_4+grade_estimate_6
aspect,5,262,6,1,n,tier2_nawl_academic+nawl_rank_5+grade_estimate_6
dynamic,6,224,6,1,adj,tier2_nawl_academic+nawl_rank_6+grade_estimate_6
impact,7,223,6,1,n,tier2_nawl_academic+nawl_rank_7+grade_estimate_6
domain,8,222,6,1,n,tier2_nawl_academic+nawl_rank_8+grade_estimate_6
publish,9,195,6,1,v,tier2_nawl_academic+nawl_rank_9+bridge_from_beginner_grade_4+grade_estimate_6
denote,10,181,6,1,v,tier2_nawl_academic+nawl_rank_10+grade_estimate_6
authority,11,178,6,1,n,tier2_nawl_academic+nawl_rank_11+grade_estimate_6
semantic,12,173,6,1,adj,tier2_nawl_academic+nawl_rank_12+grade_estimate_6
par,13,171,6,1,n,tier2_nawl_academic+nawl_rank_13+grade_estimate_6
ion,14,165,6,1,n,tier2_nawl_academic+nawl_rank_14+grade_estimate_6
matrix,15,165,6,1,n,tier2_nawl_academic+nawl_rank_15+grade_estimate_6
linear,16,163,6,1,adj,tier2_nawl_academic+nawl_rank_16+grade_estimate_6
cognitive,17,161,6,1,adj,tier2_nawl_academic+nawl_rank_17+grade_estimate_6
graph,18,152,6,1,n,tier2_nawl_academic+nawl_rank_18+bridge_from_beginner_grade_2+grade_estimate_6
correlation,19,150,6,1,n,tier2_nawl_academic+nawl_rank_19+grade_estimate_6
linguistic,20,149,6,1,adj,tier2_nawl_academic+nawl_rank_20+grade_estimate_6
acid,21,149,6,1,n,tier2_nawl_academic+nawl_rank_21+grade_estimate_6
induce,22,146,6,1,v,tier2_nawl_academic+nawl_rank_22+grade_estimate_6
velocity,23,146,6,1,n,tier2_nawl_academic+nawl_rank_23+grade_estimate_6
interval,24,145,6,1,adj,tier2_nawl_academic+nawl_rank_24+grade_estimate_6
discourse,25,142,6,1,n,tier2_nawl_academic+nawl_rank_25+grade_estimate_6
finite,26,141,6,1,adj,tier2_nawl_academic+nawl_rank_26+grade_estimate_6
stimulus,27,139,6,1,n,tier2_nawl_academic+nawl_rank_27+grade_estimate_6
vector,28,139,6,1,n,tier2_nawl_academic+nawl_rank_28+grade_estimate_6
electron,29,138,6,1,n,tier2_nawl_academic+nawl_rank_29+grade_estimate_6
receptor,30,137,6,1,n,tier2_nawl_academic+nawl_rank_30+grade_estimate_6
theorem,31,135,6,1,n,tier2_nawl_academic+nawl_rank_31+grade_estimate_6
algorithm,32,133,6,1,n,tier2_nawl_academic+nawl_rank_32+grade_estimate_6
fluid,33,132,6,1,adj,tier2_nawl_academic+nawl_rank_33+grade_estimate_6
developmental,34,131,6,1,adj,tier2_nawl_academic+nawl_rank_34+grade_estimate_6
bound,35,130,6,1,adj,tier2_nawl_academic+nawl_rank_35+grade_estimate_6
molecular,36,126,6,1,n,tier2_nawl_academic+nawl_rank_36+grade_estimate_6
transformation,37,125,6,1,n,tier2_nawl_academic+nawl_rank_37+grade_estimate_6
spatial,38,123,6,1,adj,tier2_nawl_academic+nawl_rank_38+grade_estimate_6
coefficient,39,121,6,1,adj,tier2_nawl_academic+nawl_rank_39+grade_estimate_6
translation,40,117,6,1,n,tier2_nawl_academic+nawl_rank_40+bridge_from_beginner_grade_4+grade_estimate_6
membrane,41,117,6,1,n,tier2_nawl_academic+nawl_rank_41+grade_estimate_6
neuron,42,116,6,1,n,tier2_nawl_academic+nawl_rank_42+grade_estimate_6
simulation,43,116,6,1,n,tier2_nawl_academic+nawl_rank_43+grade_estimate_6
lexical,44,115,6,1,adj,tier2_nawl_academic+nawl_rank_44+grade_estimate_6
regime,45,113,6,1,n,tier2_nawl_academic+nawl_rank_45+grade_estimate_6
variance,46,108,6,1,n,tier2_nawl_academic+nawl_rank_46+grade_estimate_6
molecule,47,107,6,1,n,tier2_nawl_academic+nawl_rank_47+grade_estimate_6
marker,48,106,6,1,n,tier2_nawl_academic+nawl_rank_48+bridge_from_beginner_grade_3+grade_estimate_6
empirical,49,103,6,1,adj,tier2_nawl_academic+nawl_rank_49+grade_estimate_6
robot,50,101,6,1,n,tier2_nawl_academic+nawl_rank_50+bridge_from_beginner_grade_4+grade_estimate_6
statistical,51,100,6,1,adj,tier2_nawl_academic+nawl_rank_51+grade_estimate_6
vowel,52,99,6,1,n,tier2_nawl_academic+nawl_rank_52+bridge_from_beginner_grade_4+grade_estimate_6
equilibrium,53,99,6,1,n,tier2_nawl_academic+nawl_rank_53+grade_estimate_6
intensity,54,99,6,1,n,tier2_nawl_academic+nawl_rank_54+grade_estimate_6
regression,55,98,6,1,n,tier2_nawl_academic+nawl_rank_55+grade_estimate_6
diagnosis,56,96,6,1,n,tier2_nawl_academic+nawl_rank_56+grade_estimate_6
identification,57,96,6,1,n,tier2_nawl_academic+nawl_rank_57+grade_estimate_6
node,58,95,6,1,n,tier2_nawl_academic+nawl_rank_58+grade_estimate_6
candidate,59,94,6,1,n,tier2_ngsl_nawl_overlap+ngsl_rank_977+nawl_rank_59+grade_estimate_6
partial,60,94,6,1,adj,tier2_nawl_academic+nawl_rank_60+bridge_from_beginner_grade_4+grade_estimate_6
correlate,61,93,6,1,v,tier2_nawl_academic+nawl_rank_61+grade_estimate_6
mortality,62,93,6,1,n,tier2_nawl_academic+nawl_rank_62+grade_estimate_6
antibody,63,92,6,1,n,tier2_nawl_academic+nawl_rank_63+grade_estimate_6
temporal,64,91,6,1,adj,tier2_nawl_academic+nawl_rank_64+grade_estimate_6
particle,65,91,6,1,n,tier2_nawl_academic+nawl_rank_65+bridge_from_beginner_grade_3+grade_estimate_6
duration,66,91,6,1,n,tier2_nawl_academic+nawl_rank_66+grade_estimate_6
behavioral,67,90,6,1,adj,tier2_nawl_academic+nawl_rank_67+grade_estimate_6
consumption,68,90,6,1,n,tier2_nawl_academic+nawl_rank_68+grade_estimate_6
bilingual,69,89,6,1,adj,tier2_nawl_academic+nawl_rank_69+grade_estimate_6
sensitivity,70,89,6,1,n,tier2_nawl_academic+nawl_rank_70+grade_estimate_6
similarity,71,88,6,1,n,tier2_nawl_academic+nawl_rank_71+grade_estimate_6
optimal,72,87,6,1,adj,tier2_nawl_academic+nawl_rank_72+grade_estimate_6
explicit,73,87,6,1,n,tier2_nawl_academic+nawl_rank_73+grade_estimate_6
mutation,74,87,6,1,n,tier2_nawl_academic+nawl_rank_74+grade_estimate_6
colonial,75,86,6,1,adj,tier2_nawl_academic+nawl_rank_75+grade_estimate_6
phonological,76,86,6,1,adj,tier2_nawl_academic+nawl_rank_76+grade_estimate_6
spectrum,76,86,6,1,n,tier2_nawl_academic+nawl_rank_76+grade_estimate_6
nucleus,78,86,6,1,n,tier2_nawl_academic+nawl_rank_78+bridge_from_beginner_grade_5+grade_estimate_6
onset,79,85,6,1,n,tier2_nawl_academic+nawl_rank_79+grade_estimate_6
integration,80,84,6,1,n,tier2_nawl_academic+nawl_rank_80+grade_estimate_6
dominant,81,84,6,1,adj,tier2_nawl_academic+nawl_rank_81+grade_estimate_6
pathway,82,83,6,1,n,tier2_nawl_academic+nawl_rank_82+grade_estimate_6
coordinate,83,83,6,1,v,tier2_nawl_academic+nawl_rank_83+grade_estimate_6
calculation,84,83,6,1,n,tier2_nawl_academic+nawl_rank_84+grade_estimate_6
precede,85,82,6,1,v,tier2_nawl_academic+nawl_rank_85+grade_estimate_6
subset,86,82,6,1,n,tier2_nawl_academic+nawl_rank_86+grade_estimate_6
syntactic,87,82,6,1,adj,tier2_nawl_academic+nawl_rank_87+grade_estimate_6
orientation,88,82,6,1,n,tier2_nawl_academic+nawl_rank_88+grade_estimate_6
proposition,89,82,6,1,n,tier2_nawl_academic+nawl_rank_89+grade_estimate_6
inequality,90,81,6,1,n,tier2_nawl_academic+nawl_rank_90+grade_estimate_6
identical,91,81,6,1,adj,tier2_nawl_academic+nawl_rank_91+grade_estimate_6
prevalence,92,81,6,1,n,tier2_nawl_academic+nawl_rank_92+grade_estimate_6
differential,93,80,6,1,adj,tier2_nawl_academic+nawl_rank_93+grade_estimate_6
generalize,94,80,6,1,n,tier2_nawl_academic+nawl_rank_94+bridge_from_beginner_grade_4+grade_estimate_6
beam,95,80,6,1,n,tier2_nawl_academic+nawl_rank_95+grade_estimate_6
pulse,96,80,6,1,n,tier2_nawl_academic+nawl_rank_96+grade_estimate_6
norm,97,80,6,1,n,tier2_nawl_academic+nawl_rank_97+grade_estimate_6
trait,98,79,6,1,n,tier2_nawl_academic+nawl_rank_98+grade_estimate_6
prediction,99,79,6,1,n,tier2_nawl_academic+nawl_rank_99+bridge_from_beginner_grade_2+grade_estimate_6
correspondence,100,78,6,1,n,tier2_nawl_academic+nawl_rank_100+grade_estimate_6
essentially,101,78,6,1,adv,tier2_nawl_academic+nawl_rank_101+grade_estimate_6
syllable,102,76,6,1,n,tier2_nawl_academic+nawl_rank_102+bridge_from_beginner_grade_3+grade_estimate_6
chromosome,103,75,6,1,n,tier2_nawl_academic+nawl_rank_103+grade_estimate_6
infect,104,75,6,1,v,tier2_nawl_academic+nawl_rank_104+grade_estimate_6
magnetic,105,75,6,1,adj,tier2_nawl_academic+nawl_rank_105+bridge_from_beginner_grade_4+grade_estimate_6
configuration,106,75,6,1,n,tier2_nawl_academic+nawl_rank_106+grade_estimate_6
numerical,107,75,6,1,adj,tier2_nawl_academic+nawl_rank_107+bridge_from_beginner_grade_4+grade_estimate_6
namely,108,75,6,1,adv,tier2_nawl_academic+nawl_rank_108+grade_estimate_6
intermediate,109,74,6,1,v,tier2_nawl_academic+nawl_rank_109+grade_estimate_6
transmission,110,74,6,1,n,tier2_nawl_academic+nawl_rank_110+grade_estimate_6
